Time    Temperature
0.0	80.77
0.51	78.73
1.01	78.23
1.52	78.23
2.03	78.23
2.54	78.23
3.04	78.23
3.55	77.74
4.06	77.74
4.57	77.74
5.08	78.23
5.58	77.74
6.09	77.74
6.6	76.31
7.11	77.74
7.62	77.26
8.12	77.74
8.63	77.26
9.14	77.26
9.65	77.26
10.15	77.26
10.66	77.26
11.17	77.26
11.68	77.26
12.19	77.26
12.69	77.26
13.2	77.26
13.71	77.26
14.22	77.26
14.72	77.26
15.23	77.26
15.74	77.74
16.25	77.26
16.76	77.26
17.26	77.26
17.77	77.26
18.28	77.26
18.79	77.26
19.3	77.26
19.8	77.26
20.31	77.26
20.82	77.26
21.33	77.26
21.83	77.26
22.34	77.26
22.85	77.26
23.36	77.26
23.87	77.26
24.37	76.78
24.88	77.26
25.39	77.26
25.9	77.26
26.41	77.26
26.91	77.26
27.42	77.74
27.93	79.74
28.44	80.25
28.94	82.36
29.45	82.91
29.96	84.02
30.47	84.58
30.98	85.16
31.48	85.74
31.99	85.74
32.5	85.74
33.01	86.93
33.52	86.93
34.02	nan
34.53	86.93
35.04	87.54
35.55	87.54
36.06	87.54
36.56	-5.15
37.07	87.54
37.58	87.54
38.09	88.15
38.6	88.15
39.1	88.15
39.61	88.15
40.12	88.15
40.63	88.15
41.14	88.15
41.64	87.54
42.15	86.33
42.66	85.16
43.17	83.46
43.67	80.77
44.18	79.74
44.69	78.73
45.2	77.74
45.71	76.31
46.21	75.38
46.72	74.02
47.23	72.27
47.74	71.0
48.25	69.37
48.75	68.18
49.26	67.02
49.77	65.9
50.28	65.16
50.79	64.44
51.29	63.38
51.8	62.68
52.31	62.34
52.82	61.66
53.33	60.66
53.83	59.68
54.34	59.04
54.85	58.41
55.36	57.79
55.87	56.57
56.37	55.38
56.88	54.22
57.39	53.37
57.9	52.53
58.4	51.98
58.91	50.91
59.42	50.38
59.93	49.59
60.44	49.08
